transaction_id,customer_id,product_id,quantity,transaction_date,product_name,category,price,stock,name,email,age,gender,region,signup_date,visit_id,visit_date,pages_viewed,device,duration_seconds,revenue,days_since_signup,customer_age_group,product_total_value,PC1,PC2
TX00001,CUST0159,PROD064,2,2025-02-23,Decision,Home,409.45,48,James Rodriguez,jacksonelizabeth@hotmail.com,56,Female,North,2023-09-15,VISIT00472,2024-08-01,1.0,Tablet,149.0,818.9,527,56-70,19653.6,-1.8701777585505215,-0.7083386130464131
TX00001,CUST0159,PROD064,2,2025-02-23,Decision,Home,409.45,48,James Rodriguez,jacksonelizabeth@hotmail.com,56,Female,North,2023-09-15,VISIT00743,2024-07-19,1.0,Desktop,1132.0,818.9,527,56-70,19653.6,-1.9340349744424745,-0.9592409999770726
TX00001,CUST0159,PROD064,2,2025-02-23,Decision,Home,409.45,48,James Rodriguez,jacksonelizabeth@hotmail.com,56,Female,North,2023-09-15,VISIT00939,2025-06-26,4.0,Desktop,953.0,818.9,527,56-70,19653.6,-1.9747681715104808,-0.8260954387752145
TX00001,CUST0159,PROD064,2,2025-02-23,Decision,Home,409.45,48,James Rodriguez,jacksonelizabeth@hotmail.com,56,Female,North,2023-09-15,VISIT01013,2025-01-14,10.0,Mobile,632.0,818.9,527,56-70,19653.6,-2.0586381434572796,-0.5692482515865894
TX00001,CUST0159,PROD064,2,2025-02-23,Decision,Home,409.45,48,James Rodriguez,jacksonelizabeth@hotmail.com,56,Female,North,2023-09-15,VISIT01135,2024-10-07,7.0,Desktop,546.0,818.9,527,56-70,19653.6,-2.000690132339052,-0.6347548173290123
TX00002,CUST0228,PROD021,1,2023-09-13,Never,Clothing,125.02,370,Zachary Johnson,frank98@martinez-rodriguez.org,66,Female,East,2023-02-06,VISIT00093,2025-05-16,14.0,Tablet,199.0,125.02,219,56-70,46257.4,0.7537765450745642,1.0497630748714017
TX00002,CUST0228,PROD021,1,2023-09-13,Never,Clothing,125.02,370,Zachary Johnson,frank98@martinez-rodriguez.org,66,Female,East,2023-02-06,VISIT00321,2024-12-06,10.0,Tablet,1092.0,125.02,219,56-70,46257.4,0.7655809587997243,0.705222643474118
TX00002,CUST0228,PROD021,1,2023-09-13,Never,Clothing,125.02,370,Zachary Johnson,frank98@martinez-rodriguez.org,66,Female,East,2023-02-06,VISIT00454,2024-07-23,6.0,Tablet,794.0,125.02,219,56-70,46257.4,0.8547545934072001,0.6646748294058427
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT00133,2024-10-04,11.0,Mobile,864.0,443.61,-373,56-70,62105.4,0.5714791543239844,2.4471229155620833
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT00223,2025-04-12,2.0,Mobile,856.0,443.61,-373,56-70,62105.4,0.7290827970652513,2.186792845259876
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT00335,2025-01-13,12.0,Desktop,369.0,443.61,-373,56-70,62105.4,0.5861813554894779,2.602619898943863
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT00555,2024-08-19,4.0,Mobile,491.0,443.61,-373,56-70,62105.4,0.7178862228626975,2.338260879336088
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT00684,2025-02-01,7.0,Tablet,309.0,443.61,-373,56-70,62105.4,0.677347910482052,2.4721721650148454
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT00822,2025-02-07,13.0,Mobile,621.0,443.61,-373,56-70,62105.4,0.5523572695020834,2.567451487577725
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT01019,2024-07-23,6.0,Tablet,1148.0,443.61,-373,56-70,62105.4,0.6402989318324978,2.22887210828195
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT01061,2025-01-11,4.0,Tablet,594.0,443.61,-373,56-70,62105.4,0.71119518192997,2.3119710056292133
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT01112,2024-09-09,8.0,Mobile,79.0,443.61,-373,56-70,62105.4,0.6748352975973242,2.56003015293719
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT01324,2024-10-25,13.0,Desktop,874.0,443.61,-373,56-70,62105.4,0.5359219942013062,2.502875390025887
TX00003,CUST0216,PROD080,3,2023-11-23,Those,Electronics,147.87,420,Shelley Ramirez DVM,chris08@mack-turner.com,69,Female,West,2024-11-30,VISIT01427,2025-03-13,13.0,Desktop,523.0,443.61,-373,56-70,62105.4,0.5587235026225427,2.592465153823101
